query_code,query_name,matched_code_1,matched_name_1,score_1,matched_code_2,matched_name_2,score_2,matched_code_3,matched_name_3,score_3
55004k0,北海道産ななつぼし,500110,北海道産バターロール32g*6(ﾔﾏｻﾞｷ),0.357,500110,北海道産バターロール32g*6(ﾔﾏｻﾞｷ),0.357,170555,やさしい素材ばなな,0.212
55006k0,JFSA白みそ10ｋｇ,100205,白みそ,1.0,100215,酢みそ,0.312,100220,たいみそ,0.285
55555k0,JFSA和風だし,150203,和風だし,1.0,150206,だしパック(75g),0.563,150205,鰹だしパック(50g*10),0.299
55206k0,キングもやし２５０ｇ,50361,大豆もやし,0.637,80340,もも,0.26,150255,冷やし中華たれ,0.214
55956k0,菜の花IQF（２ｍｍ）,50170,菜の花,1.0,50171,菜の花ｶｯﾄIQF(冷）,0.601,570144,菜の花おひたし(ﾌｰｽﾞﾗﾝﾄﾞ),0.515
55840k0,信田煮50ｇ,J570338,信田煮（たれ付き） BP,1.0,140501,信田巻き,0.407,140501,信田巻き,0.407
55624k0,醤油１０L,150102,減塩醤油,0.513,150160,一食醤油,0.512,150160,一食醤油,0.512
55634k0,JFSA Vみりん風調味料,150105,みりん風調味料,1.0,560163,本みりん,0.524,140603,あじみりん焼（骨無）20ｇ,0.274
55781k0,＜すずらん＞上白糖,100611,うずら豆,0.16,30121,うずら卵水煮,0.123,100651,うずら豆煮豆,0.118
56434k0,花形にんじん（約5ｇ）,170523,やさしい素材温にんじん,0.531,170523,やさしい素材温にんじん,0.531,170538,やさしい素材Ｒとけないにんじん,0.404
55720k0,ﾔﾜｺﾞｳｻﾗﾀﾞ焙煎胡麻風,570323,QPやわらかごうぼうサラダ焙煎胡麻風味,0.479,141104,焙煎胡麻ごぼうサラダ,0.451,110208,焙煎胡麻ドレッシング,0.379
56246k0,特ふり　たまご（2.5ｇ）,170563,やさしい素材たまご,0.506,170563,やさしい素材たまご,0.506,150615,徳用ふりかけたまご,0.381
56426k0,札幌牛乳（180）,40100,パック牛乳200㎖,0.482,40101,牛乳１L,0.482,40103,Ｃａ牛乳,0.482
55728k0,うどん（90ｇ*3）,90405,うどん（冷）,1.0,150153,うどんつゆ,0.631,90514,干しうどん（讃岐）,0.62
55639k0,JFSAめんつゆ,150150,めんつゆ,1.0,150153,うどんつゆ,0.543,100521,おつゆゆば,0.252
55127k0,長ねぎ（Ｂ品）,170535,やさしい素材Ｒとけない長ねぎ,0.556,170535,やさしい素材Ｒとけない長ねぎ,0.556,51081,長ねぎ　小口切り,0.526
55064k0,Vほうれん草ｶｯﾄIQF,50121,ほうれん草（冷）IQF5㎝ｶｯﾄ,1.0,50120,ほうれん草,0.76,50122,ほうれん草カットIQF1kg（冷）,0.76
55735k0,JFSAてんかす ﾌﾟﾚｰﾝ,520103,冷)ﾌﾟﾚｰﾝｵﾑﾚﾂ50g,0.315,30310,プレーンオムレツ30ｇ,0.315,30311,プレーンオムレツ60g,0.315
55407k0,BP JFSAﾐﾆ笹かま(16g),10400,かまぼこ（白）,0.177,10401,かまぼこ（赤）,0.177,140902,かまぼこ梅,0.138
56327k0,JFSAVｶﾘﾌﾗﾜｰ（3050）,50431,カリフラワー（冷）,1.0,50430,カリフラワー,1.0,50432,ミニカリフラワー（冷）,0.814
55534k0,JFSAｷｭｰﾋﾞｯｸﾁｰｽﾞ5,40312,スティックチーズ,0.443,40312,スティックチーズ,0.443,530101,学校ｽﾃｨｯｸﾁｰｽﾞ10g*20(QBB),0.357
55610k0,ｻﾞ･ﾀﾙﾀﾙｿｰｽﾁｭｰﾌﾞ,110115,タルタルソース,0.758,110116,1食タルタルソース,0.692,110116,1食タルタルソース,0.692
56385k0,ハイエードりんごCa,170557,やさしい素材りんご,0.411,80220,りんご,0.411,170557,やさしい素材りんご,0.411
55425k0,ｾﾞﾗﾁﾝA-U(ｽﾀﾝﾄﾞﾊﾟｯｸ),130300,ゼラチン,1.0,50152,チンゲン菜カット(冷）,0.197,50153,チンゲン菜（冷)15㎜,0.197
56068k0,●おやつ　　　　　　20食,150100,食塩,0.103,50211,かつお菜,0.101,10514,糸かつお,0.1
55041k0,ﾊﾟｲﾝ缶ﾁﾋﾞｯﾄ1(ｲﾝﾄﾞﾈｼｱ産),80433,パイン缶チビット,1.0,80230,パイン（生）,0.476,80231,カットパイン（生）,0.476
55607k0,精製塩,150100,食塩,0.129,150502,塩麹,0.114,150224,塩だれ,0.084
55859k0,冷凍豆腐ｻｲｺﾛｶｯﾄ(3G),100420,豆腐サイコロ（冷）,0.796,100501,高野豆腐サイコロ,0.643,540100,冷)にらｶｯﾄ5cm,0.164
55163k0,しいたけｽﾗｲｽ(5㎜)凍,50715,干しいたけスライス,0.9,50713,干しいたけ,0.542,50710,生しいたけ(8枚入),0.527
55314k0,楽らく骨無とろﾎｯｹ(60g),510159,とろホッケ骨なし80g,0.519,510158,とろホッケ骨なし60g,0.519,510158,とろホッケ骨なし60g,0.519
55018k0,JFSAいりごま 白,120100,いりごま　白,1.0,120102,すりごま白,0.704,120104,練りごま(白）,0.679
55019k0,JFSAすりごま 白,120102,すりごま白,1.0,120100,いりごま　白,0.704,120103,すりごま黒,0.679
55824k0,JFSAｷｬﾉｰﾗｻﾗﾀﾞ油,110101,サラダ油（缶）,0.543,110102,サラダ油（ペット）,0.543,50332,サラダ菜 (個）,0.259
55162k0,JFSA大根おろし(国産),50342,おろし大根（冷）,0.55,50340,大根,0.416,50531,おろし生姜,0.381
55175k0,JFSA甘酢生姜,50651,甘酢生姜,1.0,50645,紅生姜（千切り）,0.314,560128,甘酢あん(創味食品),0.309
55755k0,ﾎﾞｲﾙﾎﾟﾃﾄ ﾊｰﾌS(約50ヶ),70105,クリンクルカットポテト,0.343,70111,ダイスポテト（冷）,0.269,70101,フライドポテト,0.253
55429k0,鶏挽肉,20124,鶏もも挽肉二度挽（ミンチ）,0.33,20401,合挽（二度挽）,0.229,20400,合挽（牛3：豚7）,0.229
55221k0,玉ねぎ,51062,赤玉ねぎ,0.728,51059,玉ねぎ　スライス　5ｍｍ,0.619,50304,玉ねぎスライス（冷）5-7mm,0.619
55635k0,JFSA V料理酒,150106,料理酒,1.0,130432,白酒,0.205,130433,甘酒,0.202
55153k0,むきえだまめ,170552,やさしい素材Rﾄｹﾅｲえだまめ,0.506,170552,やさしい素材Rﾄｹﾅｲえだまめ,0.506,100530,まめプラス,0.166
55413k0,中華くらげ(W)1ｋｇ,510199,中華くらげ,1.0,50770,きくらげ,0.501,50772,白きくらげ,0.417
55243k0,業務用ｷﾝｸﾞﾊﾞﾗもやし,50361,大豆もやし,0.314,170511,やさしい素材チキン,0.162,170511,やさしい素材チキン,0.162
55343k0,ｻﾜﾗ切身骨取(西京)60,10660,サワラ骨無　60ｇ,0.73,10662,サワラ骨無　80ｇ,0.73,10660,サワラ骨無　60ｇ,0.73
5240100,厨房お任せ惣菜,141013,惣菜野菜豆,0.184,50520,せり,0.114,50211,かつお菜,0.065
55198k0,JFSA桜大根,J570347,桜大根　JFSA,1.0,50340,大根,0.554,50345,切干大根,0.267
55518k0,札幌牛乳（200）,40100,パック牛乳200㎖,0.482,40101,牛乳１L,0.482,40103,Ｃａ牛乳,0.482
55363k0,V鮭切身(骨取)60g,10590,鮭缶,1.0,10142,鮭フレーク,0.341,10642,秋鮭骨無80ｇ,0.328
55776k0,片栗粉,70400,片栗粉,1.0,120110,栗,0.373,130618,栗饅頭,0.148
55128k0,かいわれ大根,50230,かいわれ,0.753,50340,大根,0.356,J570347,桜大根　JFSA,0.198
55166k0,ﾍﾞﾄﾅﾑ産焼きなす(50g),50381,焼きなす（冷）50g,0.514,50382,焼きなすカット（冷）,0.514,50381,焼きなす（冷）50g,0.514
55141k0,万能ねぎ,560100,だしパック万能50g(はごろも),0.385,51062,赤玉ねぎ,0.205,50301,新たまねぎ,0.175
55583k0,JFSAおろししょうが,50521,みょうが,0.43,50531,おろし生姜,0.325,50342,おろし大根（冷）,0.322
55789k0,ｶｯﾌﾟｾﾞﾘｰの素(ぶどう),130528,ｶｯﾌﾟｾﾞﾘｰの素　マスカット,0.808,130527,ｶｯﾌﾟｾﾞﾘｰの素　抹茶,0.777,130523,ｶｯﾌﾟｾﾞﾘｰの素　ピーチ,0.77
55950k0,〇水,150001,水,1.0,50527,水菜（冷）,0.503,130115,水飴,0.381
55360k0,V縞ﾎｯｹ切身(骨取)60g,510214,骨なしホッケ　７０ｇ,0.404,510214,骨なしホッケ　７０ｇ,0.404,J510326,シマホッケ骨無60ｇ*10,0.333
55737k0,JFSA薄力粉(ﾁｬｯｸ付),90600,薄力粉,1.0,90601,強力粉,0.422,90610,パン粉,0.115
55257k0,青さ粉,50110,青葱,0.152,150315,粉わさび,0.141,60115,青のり,0.136
55063k0,ｼｭｶﾞｰｽﾅｯﾌﾟﾋﾟｰｽ冷凍,130105,スティックシュガー3ｇ*300,0.349,130104,パウダーシュガー,0.338,50590,スナップエンドウ（生）,0.304
55441k0,＜Ｆ日給＞豚ﾊﾞﾗｽﾗ(2㎜),20210,豚バラスライス2㎜,0.662,510261,豚バラスライス２ｍｍ厚3cm×7cm3cm,0.572,510259,豚バラスライス2mm厚3cm×7cm,0.572
55977k0,じゃがいも（男爵）　Ｌ,70100,じゃがいも,1.0,170528,やさしい素材温じゃが芋,0.416,170528,やさしい素材温じゃが芋,0.416
55125k0,人参,170518,やさしい素材人参,1.0,170518,やさしい素材人参,1.0,50100,人参,1.0
55771k0,お徳用しらたき320ｇ,500163,カットしらたき　,1.0,500162,しらたき　,1.0,140960,たたきごぼう,0.226
55058k0,＜給＞冷凍ｸﾞﾘﾝﾋﾟｰｽ,50561,グリンピース（冷）,0.848,50560,むきピース(生）,0.21,50562,うらごしピース（冷）,0.193
